1,86,67,72,225,75
2,80,53,61,194,64
3,69,66,71,206,68
4,80,58,82,220,73
5,63,91,53,207,69
6,51,85,66,202,67
7,79,54,82,215,71
8,92,52,83,227,75
9,76,82,80,238,79
10,51,65,84,200,66
11,64,86,54,204,68
12,96,100,71,267,89
13,68,64,53,185,61
14,69,54,72,195,65
15,59,76,57,192,64
16,93,72,68,233,77
17,64,85,85,234,78
18,53,93,58,204,68
19,63,61,70,194,64
20,91,96,83,270,90
21,76,84,92,252,84
22,52,78,59,189,63
23,100,95,54,249,83
24,82,72,55,209,69
25,77,83,74,234,78
26,78,61,85,224,74
27,51,51,97,199,66
28,70,77,55,202,67
29,54,78,94,226,75
30,55,65,63,183,61
